source	target	weight	kind	origin
evaluation metrics	f1 score	100.0	seed	label
evaluation metrics	learning curve	100.0	seed	label
evaluation metrics	precision	100.0	seed	label
evaluation metrics	recall	100.0	seed	label
evaluation metrics	test error	100.0	seed	label
evaluation metrics	training error	100.0	seed	label
false negative	confusion matrix	150.0	seed	wiki_label
false negative	precision recall curve	100.0	seed	label
false positives	confusion matrix	150.0	seed	wiki_label
false positives	precision recall curve	100.0	seed	label
feature extraction	deep features	100.0	seed	label
feature extraction	deep learning	150.0	seed	wiki_label
feature extraction	image classification	100.0	seed	label
feature extraction	image retrieval	150.0	seed	wiki_label
feature extraction	neural network	150.0	seed	wiki_label
feature extraction	sentiment analysis	150.0	seed	wiki_label
feature scaling	mean normalization	100.0	seed	label
feature selection	feature engineering	100.0	seed	label
feature selection	model complexity	100.0	seed	label
feature selection	model selection	150.0	seed	wiki_label
feature space	decision boundaries	100.0	seed	label
feature space	feature scaling	100.0	seed	label
feature space	linear classifier	100.0	seed	label
feature space	linear regression	100.0	seed	label
feature space	logistic regression	100.0	seed	label
feature space	multi-class classification	100.0	seed	label
feature space	neural network	100.0	seed	label
feature space	nonlinear hypotheses	100.0	seed	label
feature space	support vector	100.0	seed	label
feature space	support vector machine	100.0	seed	label
feature space	svm optimization	100.0	seed	label
feature vector	classification approach	100.0	seed	label
feature vector	collaborative filtering	150.0	seed	wiki_label
feature vector	decision boundaries	150.0	seed	wiki_label
feature vector	design matrix	150.0	seed	wiki_label
feature vector	dimensionality reduction	100.0	seed	label
feature vector	feature scaling	100.0	seed	label
feature vector	feature selection	150.0	seed	wiki_label
feature vector	feature space	100.0	seed	label
feature vector	forward propagation	100.0	seed	label
feature vector	gaussian kernel	100.0	seed	label
feature vector	gradient descent	150.0	seed	wiki_label
feature vector	hidden layer	100.0	seed	label
feature vector	input layer	100.0	seed	label
feature vector	k means	100.0	seed	label
feature vector	kernel function	150.0	seed	wiki_label
feature vector	linear classifier	150.0	seed	wiki_label
feature vector	linear kernel	100.0	seed	label
feature vector	linear regression	150.0	seed	wiki_label
feature vector	logistic regression	150.0	seed	wiki_label
feature vector	multi-class classification	150.0	seed	wiki_label
feature vector	neural network	150.0	seed	wiki_label
feature vector	nonlinear hypotheses	100.0	seed	label
feature vector	normal equation	100.0	seed	label
feature vector	online learning	100.0	seed	label
feature vector	output layer	100.0	seed	label
feature vector	overfitting	100.0	seed	label
feature vector	parameter estimation	100.0	seed	label
feature vector	pca algorithm	100.0	seed	label
feature vector	polynomial features	100.0	seed	label
feature vector	polynomial kernel	100.0	seed	label
feature vector	principle components	100.0	seed	label
feature vector	regression coefficients	100.0	seed	label
feature vector	regression model	100.0	seed	label
feature vector	regularization	100.0	seed	label
feature vector	square projection error	100.0	seed	label
feature vector	support vector	100.0	seed	label
feature vector	support vector machine	150.0	seed	wiki_label
feature vector	svm optimization	100.0	seed	label
feature vector	underfitting	100.0	seed	label
features	back prop	100.0	seed	label
features	binary classification	100.0	seed	label
features	classification approach	100.0	seed	label
features	computer vision	100.0	seed	label
features	cross validation	100.0	seed	label
features	decision boundaries	100.0	seed	label
features	decision stamp	100.0	seed	label
features	decision tree	100.0	seed	label
features	deep features	100.0	seed	label
features	deep learning	100.0	seed	label
features	deep neural network	100.0	seed	label
features	design matrix	100.0	seed	label
features	dimensionality reduction	100.0	seed	label
features	face detection	100.0	seed	label
features	feature engineering	100.0	seed	label
features	feature extraction	100.0	seed	label
features	feature scaling	100.0	seed	label
features	feature selection	100.0	seed	label
features	feature space	100.0	seed	label
features	feature vector	100.0	seed	label
features	forward propagation	100.0	seed	label
features	generalized linear models	100.0	seed	label
features	gibbs sampler	100.0	seed	label
features	image classification	100.0	seed	label
features	image retrieval	100.0	seed	label
features	large margin classifier	100.0	seed	label
features	lasso regression	100.0	seed	label
features	latent dirichlet allocation	100.0	seed	label
features	linear classifier	100.0	seed	label
features	linear model	100.0	seed	label
features	linear regression	100.0	seed	label
features	logistic regression	100.0	seed	label
features	mean normalization	100.0	seed	label
features	mixture model	100.0	seed	label
features	model selection	100.0	seed	label
features	multi-class classification	100.0	seed	label
features	neural network	100.0	seed	label
features	neural network learning	100.0	seed	label
features	normalized features	100.0	seed	label
features	online learning	100.0	seed	label
features	pca algorithm	100.0	seed	label
features	polynomial features	100.0	seed	label
features	polynomial regression	100.0	seed	label
features	recommender system	100.0	seed	label
features	regression model	100.0	seed	label
features	regression problem	100.0	seed	label
features	regularized linear regression	100.0	seed	label
features	regularized logistic regression	100.0	seed	label
features	sentiment analysis	100.0	seed	label
features	sentiment classifier	100.0	seed	label
features	spam filtering	100.0	seed	label
features	supervised learning	100.0	seed	label
features	support vector machine	100.0	seed	label
features	transfer learning	100.0	seed	label
features	unnormalized features	100.0	seed	label
features	unsupervised learning	100.0	seed	label
features	weak classifier	100.0	seed	label
forward propagation	back prop	100.0	seed	label
forward propagation	neural network learning	100.0	seed	label
gaussian density	gaussian model	100.0	seed	label
gaussian density	gibbs sampler	150.0	seed	wiki_label
gaussian density	multivariate gaussian distribution	100.0	seed	label
gaussian density	multivariate gaussian model	100.0	seed	label
gaussian density	probabilistic model	100.0	seed	label
gaussian kernel	kernel regression	100.0	seed	label
gaussian model	mixture model	100.0	seed	label
gaussian model	multivariate gaussian model	100.0	seed	label
gaussian random variable	gaussian density	100.0	seed	label
generalization error	bias problem	100.0	seed	label
generalization error	bias variance trade-off	100.0	seed	label
generalization error	cross validation	100.0	seed	label
generalization error	cross validation error	100.0	seed	label
generalization error	model complexity	100.0	seed	label
generalization error	model selection	150.0	seed	wiki_label
generalization error	overfitting	100.0	seed	label
generalization error	underfitting	100.0	seed	label
generalization error	variance problem	100.0	seed	label
global minimum	batch gradient descent	100.0	seed	label
global minimum	learning curve	100.0	seed	label
global minimum	neural network	100.0	seed	label
global minimum	normal equation	100.0	seed	label
global minimum	optimization objective	100.0	seed	label
global minimum	optimization problem	100.0	seed	label
global minimum	svm optimization	100.0	seed	label
global optimum	back prop	100.0	seed	label
global optimum	batch gradient descent	100.0	seed	label
global optimum	coordinate descent	150.0	seed	wiki_label
global optimum	global minimum	100.0	seed	label
global optimum	gradient descent	150.0	seed	wiki_label
global optimum	neural network learning	100.0	seed	label
global optimum	optimization algorithms	100.0	seed	label
gradient algorithm	gradient ascent	100.0	seed	label
gradient algorithm	stochastic gradient algorithm	100.0	seed	label
gradient ascent	stochastic gradient algorithm	100.0	seed	label
gradient descent	back prop	100.0	seed	label
gradient descent	batch gradient descent	100.0	seed	label
gradient descent	convergence test	100.0	seed	label
gradient descent	gradient checking	100.0	seed	label
gradient descent	learning rate	100.0	seed	label
gradient descent	logistic regression	150.0	seed	wiki_label
gradient descent	mini-batch gradient descent	100.0	seed	label
gradient descent	mini-batch size	100.0	seed	label
gradient descent	neural network	150.0	seed	wiki_label
gradient descent	neural network learning	100.0	seed	label
gradient descent	normal equation	100.0	seed	label
gradient descent	regularized linear regression	100.0	seed	label
gradient descent	regularized logistic regression	100.0	seed	label
gradient descent	stochastic gradient algorithm	150.0	seed	wiki_label
hidden layer	activation function	100.0	seed	label
hidden layer	activation values	100.0	seed	label
hidden layer	back prop	100.0	seed	label
hidden layer	bias unit	100.0	seed	label
hidden layer	error cost function	100.0	seed	label
hidden layer	forward propagation	100.0	seed	label
hidden layer	neural network learning	100.0	seed	label
hidden unit	activation function	100.0	seed	label
hidden unit	activation values	100.0	seed	label
hidden unit	back prop	100.0	seed	label
hidden unit	bias unit	100.0	seed	label
hidden unit	error cost function	100.0	seed	label
hidden unit	forward propagation	100.0	seed	label
hidden unit	hidden layer	100.0	seed	label
hidden unit	neural network learning	100.0	seed	label
hierarchical clustering	agglomerative clustering	100.0	seed	label
high order polynomial	polynomial features	100.0	seed	label
high order polynomial	polynomial regression	100.0	seed	label
hypothesis	back prop	100.0	seed	label
hypothesis	batch gradient descent	100.0	seed	label
hypothesis	bias problem	100.0	seed	label
hypothesis	decision boundaries	100.0	seed	label
hypothesis	forward propagation	100.0	seed	label
hypothesis	generalization error	100.0	seed	label
hypothesis	linear classifier	100.0	seed	label
hypothesis	linear regression	100.0	seed	label
hypothesis	logistic regression	100.0	seed	label
hypothesis	model selection	100.0	seed	label
hypothesis	neural network	100.0	seed	label
hypothesis	neural network learning	100.0	seed	label
hypothesis	nonlinear hypotheses	100.0	seed	label
hypothesis	online learning	100.0	seed	label
hypothesis	polynomial regression	100.0	seed	label
hypothesis	regression model	100.0	seed	label
hypothesis	regularized linear regression	100.0	seed	label
hypothesis	regularized logistic regression	100.0	seed	label
hypothesis	stochastic gradient algorithm	100.0	seed	label
hypothesis	support vector machine	100.0	seed	label
identity matrics	covariance matrix	150.0	seed	wiki_label
identity matrics	gaussian density	150.0	seed	wiki_label
identity matrics	matrix multiplication	150.0	seed	wiki_label
identity matrics	matrix transpose	100.0	seed	label
identity matrics	mean square error	150.0	seed	wiki_label
identity matrics	multivariate gaussian distribution	100.0	seed	label
inner product	feature space	100.0	seed	label
inner product	kernel function	150.0	seed	wiki_label
inner product	large margin classifier	100.0	seed	label
inner product	least squares	150.0	seed	wiki_label
inner product	linear regression	150.0	seed	wiki_label
inner product	logistic regression	150.0	seed	wiki_label
inner product	neural network	150.0	seed	wiki_label
inner product	normalized representation	100.0	seed	label
inner product	optimization problem	150.0	seed	wiki_label
inner product	polynomial kernel	100.0	seed	label
inner product	squared error	100.0	seed	label
inner product	support vector machine	150.0	seed	wiki_label
inner product	svm optimization	100.0	seed	label
input data	bias variance trade-off	100.0	seed	label
input data	classification accuracy	100.0	seed	label
input data	decision boundaries	100.0	seed	label
input data	error analysis	100.0	seed	label
input data	feature scaling	100.0	seed	label
input data	feature space	100.0	seed	label
input data	feature vector	100.0	seed	label
input data	learning method	100.0	seed	label
input data	learning system	100.0	seed	label
input data	linear classifier	100.0	seed	label
input data	linear model	100.0	seed	label
input data	logistic regression	100.0	seed	label
input data	machine learning algorithm	100.0	seed	label
input data	machine learning system	100.0	seed	label
input data	multi-class classification	100.0	seed	label
input data	neural network	100.0	seed	label
input data	regression model	100.0	seed	label
input data	sentiment analysis	100.0	seed	label
input data	sentiment classifier	100.0	seed	label
input data	support vector machine	100.0	seed	label
input data	test data	100.0	seed	label
input data	test data set	100.0	seed	label
input data	training data	100.0	seed	label
input data	training data set	100.0	seed	label
input layer	back prop	100.0	seed	label
input layer	bias unit	100.0	seed	label
input layer	error cost function	100.0	seed	label
input layer	forward propagation	100.0	seed	label
input layer	hidden layer	100.0	seed	label
input layer	neural network learning	100.0	seed	label
input space	kernel regression	100.0	seed	label
input space	linear regression	100.0	seed	label
input space	regression model	100.0	seed	label
input units	back prop	100.0	seed	label
input units	bias unit	100.0	seed	label
input units	error cost function	100.0	seed	label
input units	forward propagation	100.0	seed	label
input units	hidden layer	100.0	seed	label
input units	hidden unit	100.0	seed	label
input units	input layer	100.0	seed	label
input units	neural network learning	100.0	seed	label
iterative algorithm	batch gradient descent	100.0	seed	label
iterative algorithm	expectation maximization	100.0	seed	label
iterative algorithm	gradient descent	100.0	seed	label
iterative algorithm	k means	100.0	seed	label
joint model probability	bayesian inference	100.0	seed	label
joint model probability	gibbs sampler	100.0	seed	label
joint model probability	latent dirichlet allocation	100.0	seed	label
joint model probability	mixture model	100.0	seed	label
joint model probability	probabilistic model	100.0	seed	label
k means	agglomerative clustering	100.0	seed	label
k means	hierarchical clustering	100.0	seed	label
k means	k-means objective	100.0	seed	label
kernel function	gaussian kernel	100.0	seed	label
kernel function	polynomial kernel	100.0	seed	label
kernel function	string kernel	100.0	seed	label
labeled data	anomalous example	100.0	seed	label
labeled data	anomaly detection	100.0	seed	label
labeled data	classification accuracy	100.0	seed	label
labeled data	cross validation sets	100.0	seed	label
labeled data	deep neural network	100.0	seed	label
labeled data	error analysis	100.0	seed	label
labeled data	f1 score	100.0	seed	label
labeled data	false negative	100.0	seed	label
labeled data	false positives	100.0	seed	label
labeled data	image classification	100.0	seed	label
labeled data	linear classifier	100.0	seed	label
labeled data	logistic regression	100.0	seed	label
labeled data	negative example	100.0	seed	label
labeled data	neural network	100.0	seed	label
labeled data	non-anomalous examples	100.0	seed	label
labeled data	positive data	100.0	seed	label
labeled data	positive training example	100.0	seed	label
labeled data	recall	100.0	seed	label
labeled data	supervised learning	100.0	seed	label
labeled data	support vector machine	100.0	seed	label
labeled data	training data	100.0	seed	label
labeled data	training data set	100.0	seed	label
labeled data	validation set	100.0	seed	label
large margin classifier	support vector machine	100.0	seed	label
learning curve	overfitting	100.0	seed	label
learning curve	underfitting	100.0	seed	label
learning curve	variance problem	100.0	seed	label
learning method	adaboost	100.0	seed	label
learning method	anomaly detection	100.0	seed	label
learning method	back prop	100.0	seed	label
learning method	batch gradient descent	100.0	seed	label
learning method	bayesian inference	100.0	seed	label
learning method	bias problem	100.0	seed	label
learning method	bias variance trade-off	100.0	seed	label
learning method	binary classification	100.0	seed	label
learning method	boosting algorithm	100.0	seed	label
learning method	classification approach	100.0	seed	label
learning method	clustering algorithm	100.0	seed	label
learning method	collaborative filtering	100.0	seed	label
learning method	decision boundaries	100.0	seed	label
learning method	decision stamp	100.0	seed	label
learning method	decision tree	100.0	seed	label
learning method	deep learning	100.0	seed	label
learning method	deep neural network	100.0	seed	label
learning method	design matrix	100.0	seed	label
learning method	dimensionality reduction	100.0	seed	label
learning method	expectation maximization	100.0	seed	label
learning method	feature selection	100.0	seed	label
learning method	forward propagation	100.0	seed	label
learning method	gradient ascent	100.0	seed	label
learning method	gradient checking	100.0	seed	label
learning method	gradient descent	100.0	seed	label
learning method	input space	100.0	seed	label
learning method	k means	100.0	seed	label
learning method	kernel regression	100.0	seed	label
learning method	large margin classifier	100.0	seed	label
learning method	lasso regression	100.0	seed	label
learning method	latent dirichlet allocation	100.0	seed	label
learning method	linear classifier	100.0	seed	label
learning method	linear regression	100.0	seed	label
learning method	logistic regression	100.0	seed	label
learning method	machine learning algorithm	100.0	seed	label
learning method	misclassification error	100.0	seed	label
learning method	mixture model	100.0	seed	label
learning method	model complexity	100.0	seed	label
learning method	model parameters	100.0	seed	label
learning method	model selection	100.0	seed	label
learning method	multi-class classification	100.0	seed	label
learning method	nearest neighbor search	100.0	seed	label
learning method	neural network	100.0	seed	label
learning method	neural network learning	100.0	seed	label
learning method	online learning	100.0	seed	label
learning method	pedestrian detection	100.0	seed	label
learning method	polynomial regression	100.0	seed	label
learning method	regression model	100.0	seed	label
learning method	regularized linear regression	100.0	seed	label
learning method	regularized logistic regression	100.0	seed	label
learning method	sentiment analysis	100.0	seed	label
learning method	sentiment classifier	100.0	seed	label
learning method	stochastic gradient algorithm	100.0	seed	label
learning method	supervised learning	100.0	seed	label
learning method	support vector machine	100.0	seed	label
learning method	svm optimization	100.0	seed	label
learning method	unsupervised learning	100.0	seed	label
learning method	weak classifier	100.0	seed	label
learning problem	anomaly detection	100.0	seed	label
learning problem	batch gradient descent	100.0	seed	label
learning problem	bayesian inference	100.0	seed	label
learning problem	bias problem	100.0	seed	label
learning problem	bias variance trade-off	100.0	seed	label
learning problem	boosting algorithm	100.0	seed	label
learning problem	character recognition	100.0	seed	label
learning problem	character segmentation	100.0	seed	label
learning problem	classification accuracy	100.0	seed	label
learning problem	classification approach	100.0	seed	label
learning problem	classification problem	100.0	seed	label
learning problem	clustering algorithm	100.0	seed	label
learning problem	collaborative filtering	100.0	seed	label
learning problem	cross validation	100.0	seed	label
learning problem	cross validation error	100.0	seed	label
learning problem	decision boundaries	100.0	seed	label
learning problem	decision tree	100.0	seed	label
learning problem	deep features	100.0	seed	label
learning problem	deep learning	100.0	seed	label
learning problem	document retrieval	100.0	seed	label
learning problem	f1 score	100.0	seed	label
learning problem	face detection	100.0	seed	label
learning problem	false negative	100.0	seed	label
learning problem	false positives	100.0	seed	label
learning problem	feature engineering	100.0	seed	label
learning problem	feature extraction	100.0	seed	label
learning problem	feature scaling	100.0	seed	label
learning problem	feature selection	100.0	seed	label
learning problem	feature space	100.0	seed	label
learning problem	feature vector	100.0	seed	label
learning problem	features	100.0	seed	label
learning problem	hypothesis	100.0	seed	label
learning problem	image classification	100.0	seed	label
learning problem	image retrieval	100.0	seed	label
learning problem	input space	100.0	seed	label
learning problem	k means	100.0	seed	label
learning problem	latent dirichlet allocation	100.0	seed	label
learning problem	learning curve	100.0	seed	label
learning problem	learning method	100.0	seed	label
learning problem	learning system	100.0	seed	label
learning problem	linear classifier	100.0	seed	label
learning problem	linear regression	100.0	seed	label
learning problem	logistic regression	100.0	seed	label
learning problem	machine learning	100.0	seed	label
learning problem	machine learning algorithm	100.0	seed	label
learning problem	machine learning application	100.0	seed	label
learning problem	machine learning system	100.0	seed	label
learning problem	massive training set	100.0	seed	label
learning problem	mixture model	100.0	seed	label
learning problem	model selection	100.0	seed	label
learning problem	multi-class classification	100.0	seed	label
learning problem	nearest neighbor search	100.0	seed	label
learning problem	neural network	100.0	seed	label
learning problem	normal equation	100.0	seed	label
learning problem	online learning	100.0	seed	label
learning problem	photo ocr	100.0	seed	label
learning problem	probabilistic model	100.0	seed	label
learning problem	recommender system	100.0	seed	label
learning problem	regression model	100.0	seed	label
learning problem	regression problem	100.0	seed	label
learning problem	spam filtering	100.0	seed	label
learning problem	stochastic gradient algorithm	100.0	seed	label
learning problem	supervised learning	100.0	seed	label
learning problem	support vector machine	100.0	seed	label
learning problem	svm optimization	100.0	seed	label
learning problem	test data	100.0	seed	label
learning problem	test data set	100.0	seed	label
learning problem	training data	100.0	seed	label
learning problem	training data set	100.0	seed	label
learning problem	unsupervised learning	100.0	seed	label
learning problem	validation set	100.0	seed	label
learning problem	variance problem	100.0	seed	label
learning problem	weak classifier	100.0	seed	label
learning rate	back prop	100.0	seed	label
learning rate	convergence test	100.0	seed	label
learning rate	neural network	100.0	seed	label
learning rate	online learning	100.0	seed	label
learning rate	stochastic gradient algorithm	100.0	seed	label
